FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20027963-1020.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,29,176,3599.92,0
slurm_20027963-1021.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,2,0,2.15355,0
slurm_20027963-1022.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,66,170,551.479,0
slurm_20027963-1023.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.271174,0
slurm_20027963-1024.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,24,275,3599.94,0
slurm_20027963-1025.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,132,457,3599.96,0
slurm_20027963-1026.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,75,275,3599.94,0
slurm_20027963-1027.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,99,104,154.425,0
slurm_20027963-1028.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,277,288,2856.8,0
slurm_20027963-1029.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,12,91,161.528,0
slurm_20027963-102.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,13,34,2.4009,0
slurm_20027963-1030.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,2,0,0.253623,0
slurm_20027963-1031.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,4,0,1.3999,0
slurm_20027963-1032.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,146,365,3599.95,0
slurm_20027963-1033.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,224,429,3599.95,0
slurm_20027963-1034.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3,0,3.38774,0
