FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20023249-101.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,88,16,0.620363,0
slurm_20023249-1020.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-weakcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,124328,110032,3599.95,0
slurm_20023249-1021.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,117659,69051,3599.96,0
slurm_20023249-1022.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,88444,68865,3599.91,0
slurm_20023249-1023.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,140289,51191,3599.9,0
slurm_20023249-1024.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,109625,65822,3599.91,0
slurm_20023249-1025.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,185298,50019,3599.9,0
slurm_20023249-1026.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,205006,39437,3599.9,0
slurm_20023249-1027.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,179465,63405,3599.9,0
slurm_20023249-1028.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,191419,48624,3600.01,0
slurm_20023249-1029.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,154388,60700,3599.96,0
slurm_20023249-102.out:result,../../../instances/GNEP_knapsack_instances/2-15-5-uncorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,281032,112010,3599.91,0
slurm_20023249-1030.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-strongcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,232988,56271,3599.9,0
slurm_20023249-1031.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,97464,39642,3599.96,0
slurm_20023249-1032.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,125533,41468,3599.91,0
slurm_20023249-1033.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,92822,35139,3599.95,0
slurm_20023249-1034.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,65965,35288,3599.91,0
slurm_20023249-1035.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,118265,47876,3599.93,0
slurm_20023249-1036.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,92749,46339,3599.97,0
slurm_20023249-1037.out:result,../../../instances/GNEP_knapsack_instances/4-30-2-uncorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,112635,44873,3599.9,0
