FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20025748-1020.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,17909,132,3599.91,0
slurm_20025748-1021.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,12785,165,3600.01,0
slurm_20025748-1022.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,12173,159,3599.92,0
slurm_20025748-1023.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,303,16,8.66376,0
slurm_20025748-1024.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,12594,143,3599.9,0
slurm_20025748-1025.out:result,../../../instances/NEP_knapsack_instances/4-20-8-strongcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,7357,106,3599.92,0
slurm_20025748-1026.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,12223,78,3599.91,0
slurm_20025748-1027.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,9351,111,3521.6,0
slurm_20025748-1028.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,10099,133,3599.92,0
slurm_20025748-1029.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,13649,84,3599.91,0
slurm_20025748-102.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3964,58,44.2406,0
slurm_20025748-1030.out:result,../../../instances/NEP_knapsack_instances/4-20-8-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,11437,91,3599.91,0
slurm_20025748-1031.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,5757,187,3599.92,0
slurm_20025748-1032.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1611,45,119.497,0
slurm_20025748-1033.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,8249,186,3599.92,0
slurm_20025748-1034.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,11818,111,3599.92,0
slurm_20025748-1035.out:result,../../../instances/NEP_knapsack_instances/4-20-8-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,7183,186,3599.93,0
slurm_20025748-1036.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,22812,23,3599.91,0
slurm_20025748-1037.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,19900,48,3599.91,0
slurm_20025748-1038.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,31011,64,3599.91,0
slurm_20025748-1039.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,18927,52,3599.91,0
slurm_20025748-103.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1189,22,19.993,0
slurm_20025748-1040.out:result,../../../instances/NEP_knapsack_instances/4-30-2-strongcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,25156,72,3599.91,0
slurm_20025748-1041.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,22479,52,3599.91,0
slurm_20025748-1042.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,25025,46,3599.91,0
slurm_20025748-1043.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,29589,46,3599.91,0
slurm_20025748-1044.out:result,../../../instances/NEP_knapsack_instances/4-30-2-uncorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,49246,44,3599.91,0
