FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20023130-121.out:result,../../../instances/implementation_games/I_2_10_mm_10_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,45,44,0.999465,0
slurm_20023130-122.out:result,../../../instances/implementation_games/I_2_10_mm_10_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,27568,44950,3600.44,0
slurm_20023130-123.out:result,../../../instances/implementation_games/I_2_10_mm_10_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.390465,0
slurm_20023130-124.out:result,../../../instances/implementation_games/I_2_10_mm_10_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,79736,130858,3599.95,0
slurm_20023130-125.out:result,../../../instances/implementation_games/I_2_10_mm_10_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3247,3151,95.5324,0
slurm_20023130-126.out:result,../../../instances/implementation_games/I_2_10_mm_10_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,2.16714,0
slurm_20023130-127.out:result,../../../instances/implementation_games/I_2_10_mm_10_6.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,59267,106613,3599.9,0
slurm_20023130-128.out:result,../../../instances/implementation_games/I_2_10_mm_10_7.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,5798,8137,193.212,0
slurm_20023130-129.out:result,../../../instances/implementation_games/I_2_10_mm_10_8.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,68743,81206,3599.92,0
slurm_20023130-12.out:result,../../../instances/implementation_games/I_10_10_mm_1_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,4999,37870,3601.2,0
slurm_20023130-130.out:result,../../../instances/implementation_games/I_2_10_mm_10_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,10164,9733,212.644,0
slurm_20023130-131.out:result,../../../instances/implementation_games/I_2_10_mm_1_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,17,25,2.23744,0
slurm_20023130-132.out:result,../../../instances/implementation_games/I_2_10_mm_1_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,275,383,15.6093,0
slurm_20023130-133.out:result,../../../instances/implementation_games/I_2_10_mm_1_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,16,24,2.76242,0
slurm_20023130-134.out:result,../../../instances/implementation_games/I_2_10_mm_1_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.354902,0
slurm_20023130-135.out:result,../../../instances/implementation_games/I_2_10_mm_1_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,40685,71641,3599.9,0
slurm_20023130-136.out:result,../../../instances/implementation_games/I_2_10_mm_1_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,10,23,2.73814,0
slurm_20023130-137.out:result,../../../instances/implementation_games/I_2_10_mm_1_6.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,1.9966,0
slurm_20023130-138.out:result,../../../instances/implementation_games/I_2_10_mm_1_7.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,2,3,0.186084,0
slurm_20023130-139.out:result,../../../instances/implementation_games/I_2_10_mm_1_8.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,29,58,3.49421,0
slurm_20023130-13.out:result,../../../instances/implementation_games/I_10_10_mm_1_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,217,2196,3614.83,0
slurm_20023130-140.out:result,../../../instances/implementation_games/I_2_10_mm_1_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,1.19075,0
slurm_20023130-141.out:result,../../../instances/implementation_games/I_2_10_ss_10_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,42911,71769,2119.71,0
slurm_20023130-142.out:result,../../../instances/implementation_games/I_2_10_ss_10_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,91,52,4.13231,0
slurm_20023130-143.out:result,../../../instances/implementation_games/I_2_10_ss_10_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,25,30,0.99424,0
slurm_20023130-144.out:result,../../../instances/implementation_games/I_2_10_ss_10_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,9,12,2.12622,0
slurm_20023130-145.out:result,../../../instances/implementation_games/I_2_10_ss_10_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,72211,122189,3599.9,0
slurm_20023130-146.out:result,../../../instances/implementation_games/I_2_10_ss_10_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,28,37,0.719576,0
slurm_20023130-147.out:result,../../../instances/implementation_games/I_2_10_ss_10_6.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,39,32,0.668366,0
slurm_20023130-148.out:result,../../../instances/implementation_games/I_2_10_ss_10_7.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,25,33,0.964042,0
slurm_20023130-149.out:result,../../../instances/implementation_games/I_2_10_ss_10_8.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.182184,0
slurm_20023130-14.out:result,../../../instances/implementation_games/I_10_10_mm_1_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,859,5991,3606.67,0
slurm_20023130-150.out:result,../../../instances/implementation_games/I_2_10_ss_10_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,4,12,2.21081,0
slurm_20023130-151.out:result,../../../instances/implementation_games/I_2_10_ss_1_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,1.94727,0
slurm_20023130-152.out:result,../../../instances/implementation_games/I_2_10_ss_1_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.169835,0
slurm_20023130-153.out:result,../../../instances/implementation_games/I_2_10_ss_1_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,18,37,3.16526,0
slurm_20023130-154.out:result,../../../instances/implementation_games/I_2_10_ss_1_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,2.00857,0
